#,Time,Title,_source_page,_wiki_api,biome_category,game,_matched_categories,final_category,Name,Played in,col2,Location,Mark,Artist,Year,_ext_links
,,Journey -Music Box ver.-,Bgm52,,unclassified,MapleStory,,,,,,MapleStory Glory: The Day After (Mercedes cutscene),Eurel,ASTERIA,2019,['https://www.youtube.com/watch?v=_OI6K5yQ1-0']
,,Adele's Oath Infinite,Bgm53,,unclassified,MapleStory,,,,,,Adele's Infinite skill,Ristonia,ASTERIA,2020,['https://www.youtube.com/watch?v=U2YERB4MjQ8']
,,Adele's Oath,Bgm53,,unclassified,MapleStory,,,,,,Adele storyline cutscene,Ristonia,ASTERIA,2020,['https://www.youtube.com/watch?v=CHHMxYwvVbI']
,,Adele's Oath Infinite (Original),Bgm53,,unclassified,MapleStory,,,,,,Adele's Infinite skill,Ristonia,ASTERIA,2020,['https://www.youtube.com/watch?v=I-KQr-0CO6I']
,,Apostles,Bgm53,,unclassified,MapleStory,,,,,,Cernium,Cernium,ASTERIA,2019,['https://www.youtube.com/watch?v=a7j3BzzaBAo']
,,Awakening of Old God,Bgm53,,unclassified,MapleStory,,,,,,Seren - Phase 1,Cernium,Initium SoundLab,2021,['https://www.youtube.com/watch?v=mD7YFjm5RpM']
,,Battle of Cernium,Bgm53,,unclassified,MapleStory,,,,,,Cernium,Cernium_After,ASTERIA,2019,['https://www.youtube.com/watch?v=nT7AAW7mcno']
,,Cheong Un,Bgm53,,unclassified,MapleStory,,,,,,Cheongungol,CheongUn,ASTERIA,2019,['https://www.youtube.com/watch?v=ImQIyXc6Fno']
,,Creepy Temple,Bgm53,,unclassified,MapleStory,,,,,,Cheongungol Temple,CheongUn,ASTERIA,2019,['https://www.youtube.com/watch?v=6DB9S6eShJQ']
,,For Einherjar,Bgm53,,unclassified,MapleStory,,,,,,Adele storyline - recollection,Ristonia,ESTIMATE,2020,['https://www.youtube.com/watch?v=JaoG3psmavI']
,,Graveyard of Sword,Bgm53,,unclassified,MapleStory,,,,,,Cernium: Tomb of the Sword,Cernium,ASTERIA,2019,['https://www.youtube.com/watch?v=pXXSOthPMnY']
,,Holy War,Bgm53,,unclassified,MapleStory,,,,,,Cernium,Cernium,ASTERIA,2019,['https://www.youtube.com/watch?v=x9VphRAvnno']
,,Masked Heart,Bgm53,,unclassified,MapleStory,,,,,,Ristonia Mansion,Ristonia,ASTERIA,2020,['https://www.youtube.com/watch?v=01ZKfnYCBNg']
,,Overlord of Life,Bgm53,,unclassified,MapleStory,,,,,,Cernium: Royal Library,Cernium,ASTERIA,2019,['https://www.youtube.com/watch?v=_DP0KxDNsIA']
,,Primal Bloom,Bgm53,,unclassified,MapleStory,,,,,,Wild Hunter's Primal Bloom skill,Edelstein,ASTERIA,2025,['https://www.youtube.com/watch?v=BEgqrdwARXw']
,,Red Moon,Bgm53,,unclassified,MapleStory,,,,,,Cernium: Lefgun Garrison,Cernium,ASTERIA,2019,['https://www.youtube.com/watch?v=SCurg6nRICM']
,,Riding on the Clouds,Bgm53,,unclassified,MapleStory,,,,,,Cheongungol,CheongUn,ASTERIA,2019,['https://www.youtube.com/watch?v=DrEYyRbxBSs']
,,Riding on the Clouds - God Coming,Bgm53,,unclassified,MapleStory,,,,,,Hoyoung's Sage: Wrath of Gods skill,CheongUn,ASTERIA,2020,['https://www.youtube.com/watch?v=QlAMEnsw7Wc']
,,Rising Sun,Bgm53,,unclassified,MapleStory,,,,,,Cernium,Cernium_After,ASTERIA,2019,['https://www.youtube.com/watch?v=GB32gvkH94o']
,,Romantic Sunset,Bgm53,,unclassified,MapleStory,,,,,,Ristonia,Ristonia,ASTERIA,2020,['https://www.youtube.com/watch?v=HM5WTDbZCFc']
,,Sanctuary of Mitra,Bgm53,,unclassified,MapleStory,,,,,,Cernium,Cernium,ASTERIA,2019,['https://www.youtube.com/watch?v=LnXo5Fck5YY']
,,Sea Wave,Bgm53,,unclassified,MapleStory,,,,,,Cernium,Cernium,ASTERIA,2019,['https://www.youtube.com/watch?v=PpIu5LWBkV8']
,,Seon Yu San,Bgm53,,unclassified,MapleStory,,,,,,Seonyusan,SeonYuSan,ASTERIA,2019,['https://www.youtube.com/watch?v=R6kOkzs28pk']
,,Street Piano,Bgm53,,unclassified,MapleStory,,,,,,Ristonia - Emil's performance,Ristonia,ASTERIA,2020,['https://www.youtube.com/watch?v=RdmREs3WAgg']
,,The Holy Land,Bgm53,,unclassified,MapleStory,,,,,,Cernium,Cernium,ASTERIA,2019,['https://www.youtube.com/watch?v=21ggbAKiC88']
,,The Walls of Tragedy,Bgm53,,unclassified,MapleStory,,,,,,Ristonia: Tragedy Walls,Ristonia,Initium SoundLab,2020,['https://www.youtube.com/watch?v=OOihxZSO3hE']
,,Illiyard Moor,Bgm54,,unclassified,MapleStory,,,,,,Yum Yum Island: Illiyard Field,YumYum,ESTIMATE,2020,['https://www.youtube.com/watch?v=GkJHzTUQdiU']
,,Reverse City,Bgm54,,unclassified,MapleStory,cave_underground|city_machine,,,,,Reverse City underground,Reverse_City,ASTERIA,2019,['https://www.youtube.com/watch?v=Z5sInHxNTRg']
,,"Goodbye, My Friends",Bgm55,,unclassified,MapleStory,,,,,,Sellas storyline,Sellas,Initium SoundLab,2020,['https://www.youtube.com/watch?v=s0n-cvX87o4']
,,Jazz for Dr. Lim -Radio ver.-,Bgm55,,unclassified,MapleStory,,,,,,Jazz for Dr. Lim (Radio Version),HofM,ASTERIA,2020,['https://www.youtube.com/watch?v=f8absQczPlQ']
,,"My Prince, My Kingdom",Bgm55,,unclassified,MapleStory,,,,,,Grand Athenaeum: Episode 6 cutscene,Library,ESTIMATE,2020,['https://www.youtube.com/watch?v=-XkJ2duNLOg']
,,The Knight of Sharenian,Bgm55,,unclassified,MapleStory,,,,,,Grand Athenaeum: Episode 6,Library,ESTIMATE,2020,['https://www.youtube.com/watch?v=otFwc8jP8Dk']
,,Where Stars Rest,Bgm55,,unclassified,MapleStory,,,,,,Sellas: Where the Light Lasts,Sellas,Initium SoundLab,2020,['https://www.youtube.com/watch?v=c8vFuvYtPZI']
,,Where Stars Rest -Ver. B-,Bgm55,,unclassified,MapleStory,,,,,,Sellas: Where the Light Lasts,Sellas,Initium SoundLab,2020,['https://www.youtube.com/watch?v=9VtoysqhzVk']
,,White Night,Bgm55,,unclassified,MapleStory,,,,,,Grand Athenaeum: Episode 6,Library,ESTIMATE,2020,['https://www.youtube.com/watch?v=7mxQ0D88tvs']
,,A Mechanic With a Wander,Bgm57,,unclassified,MapleStory,,,,,,Hotel Arcs storyline,Arcs,ESTIMATE,2021,['https://www.youtube.com/watch?v=RkdFCsBZGGE']
,,Dangerous Atelier,Bgm57,,unclassified,MapleStory,,,,,,Lara storyline - Twilight Workshop,Narin,ASTERIA,2021,['https://www.youtube.com/watch?v=KaKd2coOCQY']
,,Dangerous Atelier -No Intro-,Bgm57,,unclassified,MapleStory,,,,,,Lara storyline - Twilight Workshop,Narin,ASTERIA,2021,['https://www.youtube.com/watch?v=JR36lK9WPIc']
,,Between Alley,Bgm57,,unclassified,MapleStory,,,,,,Narin: Quiet Back Alley,Narin,ASTERIA,2021,['https://www.youtube.com/watch?v=4Ak93ol6Cv4']
,,Historical Site of Slime,Bgm57,,unclassified,MapleStory,,,,,,Ramuramu Valley: Altar of Guardian Angel Slime,Ramuramu,ASTERIA,2021,['https://www.youtube.com/watch?v=2DCtrNL0QCg']
,,Life is Full of Happiness -Home of Spirits-,Bgm57,,unclassified,MapleStory,,,,,,Lara's Breathtakingly Large Tree skill,Narin,ASTERIA,2021,['https://www.youtube.com/watch?v=FjGPY1ChtAA']
,,Invasion,Bgm57,,unclassified,MapleStory,,,,,,Shangri-La storyline,dowonkyung,ASTERIA,2023,['https://www.youtube.com/watch?v=A_bizn_YVZU']
,,Life is Full of Happiness,Bgm57,,unclassified,MapleStory,,,,,,Lara storyline,Narin,ASTERIA,2021,['https://www.youtube.com/watch?v=FtDyxkzpFes']
,,Lonesome Cinema,Bgm57,,unclassified,MapleStory,,,,,,Hotel Arcs: Romantic Car Theater,Arcs,ESTIMATE,2021,['https://www.youtube.com/watch?v=vlWk1jO31U0']
,,Occupied Fortress,Bgm57,,unclassified,MapleStory,,,,,,Watcher Kalos - Phase 1,karotte,ASTERIA,2022,['https://www.youtube.com/watch?v=Tr2DH10nKI8']
,,Once Upon a Time in Karotte,Bgm57,,unclassified,MapleStory,,,,,,Karotte,karotte,ASTERIA,2022,['https://www.youtube.com/watch?v=MN9OrjESFgA']
,,One Day at the Atelier,Bgm57,,unclassified,MapleStory,,,,,,Narin: Dalbodre Workshop,Narin,ASTERIA,2021,['https://www.youtube.com/watch?v=5CaWcn840ss']
,,Preparation for Breakthrough,Bgm57,,unclassified,MapleStory,,,,,,Karotte: Skyscraper,karotte,ASTERIA,2022,['https://www.youtube.com/watch?v=-lWcKfl9FfE']
,,Train Heading Nowhere,Bgm57,,unclassified,MapleStory,,,,,,Hotel Arcs: Train Heading Nowhere,Arcs,ESTIMATE,2021,['https://www.youtube.com/watch?v=C0P-N0ub7dc']
,,Way Out of the Wilderness,Bgm57,,unclassified,MapleStory,,,,,,Hotel Arcs Wilderness,Arcs,ESTIMATE,2021,['https://www.youtube.com/watch?v=gKMeID5RiGg']
,,Welcome to Hotel Arcs,Bgm57,,unclassified,MapleStory,,,,,,Hotel Arcs Lobby,Arcs,ESTIMATE,2021,['https://www.youtube.com/watch?v=dzrBrgVBPCA']
,,Welcome to Ramuramu Valley,Bgm57,,unclassified,MapleStory,,,,,,Ramuramu Valley,Ramuramu,ASTERIA,2021,['https://www.youtube.com/watch?v=OkBhkoBvtYY']
,,Wonderful Moments in Narin,Bgm57,,unclassified,MapleStory,,,,,,Narin,Narin,ASTERIA,2021,['https://www.youtube.com/watch?v=DwQ8zXlOYjs']
,,Alley on the Other Side,Bgm58,,unclassified,MapleStory,,,,,,Odium: Occupied Alley,odium,ASTERIA,2022,['https://www.youtube.com/watch?v=Dhoag52TV_w']
,,Endless Curse,Bgm58,,unclassified,MapleStory,,,,,,Explorer storyline,MushroomVillage,ASTERIA,2022,['https://www.youtube.com/watch?v=UwuyxDRPkmI']
,,Four Perils Astray,Bgm58,,unclassified,MapleStory,,,,,,Odium storyline,odium,ASTERIA,2022,['https://www.youtube.com/watch?v=Orjgsq8R-CU']
,,Irreversible Abomination,Bgm58,,unclassified,MapleStory,,,,,,Odium: Laboratory Behind Locked Doors,odium,ASTERIA,2022,['https://www.youtube.com/watch?v=XCg3agTZ7t8']
,,Just Another Maple Leaf,Bgm58,,unclassified,MapleStory,,,,,,Explorer storyline - character progression,MushroomVillage,ASTERIA,2022,['https://www.youtube.com/watch?v=7NN_k0auDWQ']
,,Knight of Light,Bgm58,,unclassified,MapleStory,,,,,,Cygnus Knights - Mihile storyline,Ereb,ASTERIA,2022,['https://www.youtube.com/watch?v=_e9YXlxlCqA']
,,Noblesse Nostalgia,Bgm58,,unclassified,MapleStory,,,,,,Ereve: Nobleman's Estate,Ereb,ASTERIA,2022,['https://www.youtube.com/watch?v=u2TQ4DFqSSw']
,,Resting Place of God,Bgm58,,unclassified,MapleStory,,,,,,Cygnus Knights storyline - God's Shelter,Ereb,ASTERIA,2022,['https://www.youtube.com/watch?v=QstADc5R4GI']
,,Sunshine Blurring the Unknown,Bgm58,,unclassified,MapleStory,,,,,,Odium: Sunny Laboratory,odium,ASTERIA,2022,['https://www.youtube.com/watch?v=N2dyV-2UeK8']
,,The Beginning of the Adventure,Bgm58,,unclassified,MapleStory,,,,,,Maple Island,MushroomVillage,ASTERIA,2022,['https://www.youtube.com/watch?v=-bSIQVSEdgM']
,,The Other Side of the Dimension,Bgm58,,unclassified,MapleStory,,,,,,Grand Athenaeum: Maple Chronicles,Library,ASTERIA,2022,['https://www.youtube.com/watch?v=1dUnek_TBRk']
,,Warning! Unknown Area,Bgm58,,unclassified,MapleStory,,,,,,Monster Park Extreme,Carnival,ASTERIA,2022,['https://www.youtube.com/watch?v=Nkh_YN1PRP4']
,,Advance of Alliance,Bgm59,,unclassified,MapleStory,,,,,,Arteria storyline,arteria,ASTERIA,2023,['https://www.youtube.com/watch?v=Q1LkJtB6EJc']
,,Carnival of the Night,Bgm59,,unclassified,MapleStory,,,,,,Khali storyline,Erimos,ASTERIA,2023,['https://www.youtube.com/watch?v=kVG41FevqdU']
,,Cygnus's Rest,Bgm59,,unclassified,MapleStory,,,,,,Arteria storyline,arteria,ASTERIA,2023,['https://www.youtube.com/watch?v=eGNqwaBGIow']
,,Fierce Fortress,Bgm59,,unclassified,MapleStory,,,,,,Arteria: Queen's Road,Ereb,ASTERIA,2023,['https://www.youtube.com/watch?v=lT9xo36pADU']
,,Four Auspicious Beasts,Bgm59,,unclassified,MapleStory,,,,,,Kaling - boss reward room,dowonkyung,ASTERIA,2023,['https://www.youtube.com/watch?v=pNUO1eFYfBY']
,,Lord's Castle,Bgm59,,unclassified,MapleStory,,,,,,Erimos palace,Erimos,ASTERIA,2023,['https://www.youtube.com/watch?v=TYdGRnFuxDM']
,,Oblivion,Bgm59,,unclassified,MapleStory,,,,,,Khali's Oblivion skill,Erimos,ASTERIA,2023,['https://www.youtube.com/watch?v=QChvnprfrSg']
,,Painful and Lingering Death,Bgm59,,unclassified,MapleStory,,,,,,Arteria,arteria,ASTERIA,2023,['https://www.youtube.com/watch?v=I8TW0DEcQjc']
,,Radiant Triumph,Bgm59,,unclassified,MapleStory,,,,,,6th Job Advancement - Sol Erda,solerda,ASTERIA,2023,['https://www.youtube.com/watch?v=bYE20OjWEbs']
,,Radiant Triumph -reprise-,Bgm59,,unclassified,MapleStory,,,,,,6th Job Advancement - Sol Erda,solerda,ASTERIA,2023,['https://www.youtube.com/watch?v=P3xCJBvoz8o']
,,Realize Truth,Bgm59,,unclassified,MapleStory,,,,,,Khali storyline,Erimos,ASTERIA,2023,['https://www.youtube.com/watch?v=3ahM1xFHFNE']
,,Shadowy Passage,Bgm59,,unclassified,MapleStory,,,,,,Arteria,arteria,ASTERIA,2023,['https://www.youtube.com/watch?v=EPpkgs7GI54']
,,The Land of Peach Blossoms,Bgm59,,unclassified,MapleStory,,,,,,Shangri-La,dowonkyung,ASTERIA,2023,['https://www.youtube.com/watch?v=WfL64ILvW0A']
,,The Other Side of Shangri-La,Bgm59,,unclassified,MapleStory,,,,,,Shangri-La field,dowonkyung,ASTERIA,2023,['https://www.youtube.com/watch?v=tJksDYXZ4Vw']
,,Adventurers from Beyond,Bgm60,,unclassified,MapleStory,,,,,,Dimensional Battlefield - Cross World Boss Content,crossWorldBoss,ASTERIA,2025,['https://www.youtube.com/watch?v=8CbvXFP-Wv4']
,,After Ragnarok,Bgm60,,unclassified,MapleStory,,,,,,Baldrix - reward map,baldrix,ASTERIA,2025,['https://www.youtube.com/watch?v=3F5oIwW-zdE']
,,An Approaching Abyss,Bgm60,,unclassified,MapleStory,sea_underwater|hell,,,,,Carcion: Sunken Ruins,carcion,ASTERIA,2023,['https://www.youtube.com/watch?v=H5SNYI8oGlc']
,,Ancient Ruins of Blue Jade,Bgm60,,unclassified,MapleStory,,,,,,Champion Raid - Dragon Island,championRaid,ASTERIA,2025,['https://www.youtube.com/watch?v=3nAFSpjFFeo']
,,An Invitation to the Night,Bgm60,,unclassified,MapleStory,,,,,,Tallahart sanctuary,tallahart,ASTERIA,2024,['https://www.youtube.com/watch?v=kP6O4ikTDr4']
,,Cocked Pistol,Bgm60,,unclassified,MapleStory,,,,,,Tallahart storyline,tallahart,ASTERIA,2024,['https://www.youtube.com/watch?v=XuLNdaKXiqc']
,,Last Requiem,Bgm60,,unclassified,MapleStory,,,,,,Tallahart storyline,tallahart,ASTERIA,2024,['https://www.youtube.com/watch?v=7ux2BU5gCbg']
,,Passageway in the Abyss,Bgm60,,unclassified,MapleStory,sea_underwater|hell,,,,,Limbo - Phase 2 Interlude,limbo,ASTERIA,2024,['https://www.youtube.com/watch?v=M5DSwuwjeps']
,,Reborn Gods,Bgm60,,unclassified,MapleStory,,,,,,Tallahart ruins,tallahart,ASTERIA,2024,['https://www.youtube.com/watch?v=0rvjE0Rl_vs']
,,Reproduced Abyss C,Bgm60,,unclassified,MapleStory,sea_underwater|hell,,,,,Limbo - Phase 2A,limbo,ASTERIA,2024,['https://www.youtube.com/watch?v=5g7b5Vuo4vk']
,,Reproduced Abyss D,Bgm60,,unclassified,MapleStory,sea_underwater|hell,,,,,Limbo - Phase 2B,limbo,ASTERIA,2024,['https://www.youtube.com/watch?v=Nh7MbtlTN-4']
,,Showdown in the Inverted Realm,Bgm60,,unclassified,MapleStory,,,,,,Baldrix - Phase 3,baldrix,ASTERIA,2025,['https://www.youtube.com/watch?v=eZtagk-9nNU']
,,Tears of Eternity,Bgm60,,unclassified,MapleStory,,,,,,Carcion: Sacred Tree Summit,carcion,ASTERIA,2023,['https://www.youtube.com/watch?v=OWaIpWJzgx8']
,,Tears of Eternity -loop-,Bgm60,,unclassified,MapleStory,,,,,,Carcion storyline,carcion,ASTERIA,2023,['https://www.youtube.com/watch?v=3u3sQlI6Jc0']
,,The Eyes of the Ishfira,Bgm60,,unclassified,MapleStory,,,,,,Carcion: Ishfira's Eye,carcion,ASTERIA,2023,['https://www.youtube.com/watch?v=atxfdYd3SL0']
,,The Fate of an Immortal,Bgm60,,unclassified,MapleStory,,,,,,Tallahart,tallahart,ASTERIA,2024,['https://www.youtube.com/watch?v=mrhVV70YhM4']
,,The Neglected Solitude of the Sanctuary,Bgm60,,unclassified,MapleStory,,,,,,Grand Athenaeum: Episode 7 - Sephiroth's Gardener,Sefirot,ASTERIA,2023,['https://www.youtube.com/watch?v=uTAVrYadBDI']
,,"The Saddest Sanctuary, Sephiroth",Bgm60,,unclassified,MapleStory,,,,,,Grand Athenaeum: Episode 7 - Sephiroth's Gardener,Sefirot,ASTERIA,2023,['https://www.youtube.com/watch?v=9aeqWJRfN0U']
,,Turbulent Realm,Bgm60,,unclassified,MapleStory,,,,,,Baldrix - Phase 2,baldrix,ASTERIA,2025,['https://www.youtube.com/watch?v=fbyVvvt2qI0']
,,Wanderer's Hut,Bgm60,,unclassified,MapleStory,,,,,,Champion Raid - Dragon Island,championRaid,ASTERIA,2025,['https://www.youtube.com/watch?v=rZIIJOjyLPI']
,,Ashes of Spring,Bgm61,,unclassified,MapleStory,,,,,,Nightmare Wonderland,nightmareParadise,ASTERIA,2025,['https://www.youtube.com/watch?v=hcCWV0lqQgs']
,,Courage Unbreakable,Bgm61,,unclassified,MapleStory,,,,,,First Adversary - Phase 1,firstAdversary,ASTERIA,2025,['https://www.youtube.com/watch?v=IWXmRItfYsM']
,,Feast of Evil Spirits,Bgm61,,unclassified,MapleStory,,,,,,Nightmare Wonderland,nightmareParadise,ASTERIA,2025,['https://www.youtube.com/watch?v=-PLcCJV6s0g']
,,Gate of Proof,Bgm61,,unclassified,MapleStory,,,,,,First Adversary - Entrance,firstAdversary,ASTERIA,2025,['https://www.youtube.com/watch?v=_5r-2JTJowM']
,,If You Follow the Mountain Path,Bgm61,,unclassified,MapleStory,,,,,,Vallora mountain zone,Vallora,ASTERIA,2025,['https://www.youtube.com/watch?v=hLG-h805Wcc']
,,Irresistible Calling,Bgm61,,unclassified,MapleStory,,,,,,Radiant Malefic Star - Preparation Map,YmirIllusion,ASTERIA,2026,['https://www.youtube.com/watch?v=53dmSYmaUNU']
,,Neo Vandalism,Bgm61,,unclassified,MapleStory,,,,,,Kai - Phase 1,Chrono,ASTERIA,2025,['https://www.youtube.com/watch?v=6vDylLAxtN0']
,,"Pristine, Tender Illusion",Bgm61,,unclassified,MapleStory,,,,,,Radiant Malefic Star - Illusion state,YmirIllusion,ASTERIA,2026,['https://www.youtube.com/watch?v=uwm-XyFS_2o']
,,Rebirth of Life,Bgm61,,unclassified,MapleStory,,,,,,Nightmare Wonderland storyline,nightmareParadise,ASTERIA,2025,['https://www.youtube.com/watch?v=HlnALPLQut8']
,,Rest of the Broken Truth,Bgm61,,unclassified,MapleStory,,,,,,Radiant Malefic Star - Reward Map,YmirReality,ASTERIA,2026,['https://www.youtube.com/watch?v=BYeEKwuAlfU']
,,Serpent's Lake,Bgm61,,unclassified,MapleStory,,,,,,Vallora: Serpent's Lake,Vallora,ASTERIA,2025,['https://www.youtube.com/watch?v=ipl9FrvjEPU']
,,Silent Protocol,Bgm61,,unclassified,MapleStory,,,,,,Kai - Entrance,Chrono,ASTERIA,2025,['https://www.youtube.com/watch?v=HSveM-a-8U4']
,,Succession Bloom,Bgm61,,unclassified,MapleStory,,,,,,First Adversary - Reward Map,firstAdversary,ASTERIA,2025,['https://www.youtube.com/watch?v=pevUhp_jxnU']
,,The Downfall,Bgm61,,unclassified,MapleStory,,,,,,Nightmare Wonderland,nightmareParadise,ASTERIA,2025,['https://www.youtube.com/watch?v=rP5UgQ71d14']
,,Unveiled Deformity,Bgm61,,unclassified,MapleStory,,,,,,Radiant Malefic Star - Reality state,YmirReality,ASTERIA,2026,['https://www.youtube.com/watch?v=FVPTmDKf0M4']
,,Voice of Verdict,Bgm61,,unclassified,MapleStory,,,,,,First Adversary - Phase 3,firstAdversary,ASTERIA,2025,['https://www.youtube.com/watch?v=3xpCpPHwsQ0']
,,Voltage Overdrive,Bgm61,,unclassified,MapleStory,,,,,,Kai - Phase 2,Chrono,ASTERIA,2025,['https://www.youtube.com/watch?v=spCf0yFfQ5A']
,,When the Wind Blows,Bgm61,,unclassified,MapleStory,,,,,,Len storyline,Vallora,ASTERIA,2025,['https://www.youtube.com/watch?v=ArFkvhHvLsE']
,,Wisdom Beyond Aspirations,Bgm61,,unclassified,MapleStory,,,,,,First Adversary - Phase 2,firstAdversary,ASTERIA,2025,['https://www.youtube.com/watch?v=OeKYxq_TX_Y']
,,Absolute Throne,Bgm62,,unclassified,MapleStory,,,,,,Mission Ultima storyline,UltimaPolis,ASTERIA,2026,['https://www.youtube.com/watch?v=xp4HLX3wB3E']
,,A Desolate and Lonely Furnace,Bgm62,,unclassified,MapleStory,,,,,,Jupiter - Reward Map,Luppiter,ASTERIA,2026,['https://www.youtube.com/watch?v=W-zrwm-pKH4']
,,An Uneasy Victory,Bgm62,,unclassified,MapleStory,,,,,,Bellona - Reward Map,TeneaTemple,ASTERIA,2026,['https://www.youtube.com/watch?v=AV2dF-ZEDlk']
,,Ashes and Resolve,Bgm62,,unclassified,MapleStory,,,,,,Mission Ultima storyline,UltimaPolis,ASTERIA,2026,['https://www.youtube.com/watch?v=JzsQ4-V8vVY']
,,Bridge of the Forgotten Saint,Bgm62,,unclassified,MapleStory,,,,,,Meilin - Entrance,Maerin,ASTERIA,2026,['https://www.youtube.com/watch?v=6CdZSy__5MQ']
,,Eternal Slumber,Bgm62,,unclassified,MapleStory,,,,,,Mission Ultima storyline,UltimaPolis,ASTERIA,2026,['https://www.youtube.com/watch?v=0rgMDKmszbM']
,,Hollow Saints,Bgm62,,unclassified,MapleStory,,,,,,Ultimapolis,UltimaPolis,ASTERIA,2026,['https://www.youtube.com/watch?v=evKrzIkpJuc']
,,Operation Signal,Bgm62,,unclassified,MapleStory,,,,,,Mission Ultima storyline,UltimaPolis,ASTERIA,2026,['https://www.youtube.com/watch?v=X0bqxkkrn6w']
,,Ordinary Day,Bgm62,,unclassified,MapleStory,,,,,,Ultimapolis,UltimaPolis,ASTERIA,2026,['https://www.youtube.com/watch?v=KDN4kqbE1P0']
,,Secrets Hidden Under the Sand,Bgm62,,unclassified,MapleStory,desert_rock|cave_underground,,,,,Geardrak: Underground,Geardrak,ASTERIA,2026,['https://www.youtube.com/watch?v=-iofIzq5THU']
,,Secrets Hidden Under the Sand (Original),Bgm62,,unclassified,MapleStory,desert_rock|cave_underground,,,,,Geardrak: Underground,Geardrak,ASTERIA,2026,['https://www.youtube.com/watch?v=ovDU4AmUMjQ']
,,Signal of Insane,Bgm62,,unclassified,MapleStory,,,,,,Bellona - Entrance,TeneaTemple,ASTERIA,2026,['https://www.youtube.com/watch?v=kSU13aIxfzA']
,,The Arena of Rules and Rupture,Bgm62,,unclassified,MapleStory,,,,,,Jupiter - Combination Form (Neutral),Luppiter,ASTERIA,2026,['https://www.youtube.com/watch?v=awUBQZ122OU']
,,The Crossroads of Control and Disobedience,Bgm62,,unclassified,MapleStory,,,,,,Jupiter - Entrance,Luppiter,ASTERIA,2026,['https://www.youtube.com/watch?v=vXUy0AHUolg']
,,The Endless Call,Bgm62,,unclassified,MapleStory,,,,,,Lethe's Void Origin skill,Lethe,ASTERIA,2026,['https://www.youtube.com/watch?v=qHZQ06mDfDc']
,,The Forbidden Oratory,Bgm62,,unclassified,MapleStory,,,,,,Meilin - Reward Map,Maerin,ASTERIA,2026,['https://www.youtube.com/watch?v=Opu2t1fK40Y']
,,The Furnace That Swallowed the Gods,Bgm62,,unclassified,MapleStory,,,,,,Geardrak,Geardrak,ASTERIA,2026,['https://www.youtube.com/watch?v=oKKN6zr14-8']
,,The Furnace That Swallowed the Gods (Original),Bgm62,,unclassified,MapleStory,,,,,,Geardrak,Geardrak,ASTERIA,2026,['https://www.youtube.com/watch?v=MojbZp4FZbk']
,,The Ghosts of the Sleepless Gods,Bgm62,,unclassified,MapleStory,,,,,,Geardrak: Gob's Workshop,Geardrak,ASTERIA,2026,['https://www.youtube.com/watch?v=SSfJAkoX0eA']
,,The Ghosts of the Sleepless Gods (Original),Bgm62,,unclassified,MapleStory,,,,,,Geardrak: Gob's Workshop,Geardrak,ASTERIA,2026,['https://www.youtube.com/watch?v=XnpTknjzPMM']
,,The Gift Never Received,Bgm62,,unclassified,MapleStory,,,,,,Mission Ultima storyline,UltimaPolis,ASTERIA,2026,['https://www.youtube.com/watch?v=xi6gKWBBzEc']
,,The Grand Rite,Bgm62,,unclassified,MapleStory,,,,,,Mission Ultima storyline,UltimaPolis,ASTERIA,2026,['https://www.youtube.com/watch?v=2gnkkJF5ZaU']
,,The Unblessed Cathedral,Bgm62,,unclassified,MapleStory,,,,,,Meilin - Phase 1,Maerin,ASTERIA,2026,['https://www.youtube.com/watch?v=TRrcxyCe6Ew']
,,The Unblessed Cathedral -Descend-,Bgm62,,unclassified,MapleStory,,,,,,Meilin - Phase 2,Maerin,ASTERIA,2026,['https://www.youtube.com/watch?v=a8ewaTeYTNg']
,,Whisper of the Covenant,Bgm62,,unclassified,MapleStory,,,,,,Lethe's Mansion,Lethe,ASTERIA,2026,['https://www.youtube.com/watch?v=3UFdq5zJRBA']
,,Training,BgmAoT,,unclassified,MapleStory,,,,,,Attack on Titan: Cadet Corps Drill Area,AoT1,StudioEIM,2014,['https://www.youtube.com/watch?v=VLMt3GGgwrM']
,,Wall 01,BgmAoT,,unclassified,MapleStory,,,,,,Attack on Titan: Wall Rose,AoT2,StudioEIM,2014,['https://www.youtube.com/watch?v=KsdCs_xSpww']
,,Wall 02,BgmAoT,,unclassified,MapleStory,,,,,,Attack on Titan: Wall Rose titan battle,AoT2,StudioEIM,2014,['https://www.youtube.com/watch?v=9AaCc7VGMc0']
,,Feel Good,BgmBR,,unclassified,MapleStory,,,,,,No apparent use (BrazilMS),Quest,StudioEIM,2009,['https://www.youtube.com/watch?v=Toxr3wrvQm8']
,,Heat Up,BgmBR,,unclassified,MapleStory,,,,,,No apparent use (BrazilMS),Quest,StudioEIM,2009,['https://www.youtube.com/watch?v=fFPEeCpJ1I4']
,,The Aftermath,BgmBR,,unclassified,MapleStory,,,,,,No apparent use (BrazilMS),Quest,StudioEIM,2009,['https://www.youtube.com/watch?v=3fm6C-FyoRQ']
,,Beast Tamer: Colosseum,BgmBT,,unclassified,MapleStory,,,,,,Tournament of Heroes Arena,ArbrenBT,StudioEIM,2014,['https://www.youtube.com/watch?v=1Z4-AVRNNEI']
