#,Time,Title,_source_page,_wiki_api,biome_category,game,Name,Played in,col2,Location,Mark,Artist,Year,_ext_links
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,SnowyVillage,El Nath,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,SnowDrop,Rien Eastern Fields,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,BlizzardCastle,Lion King's Castle,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,GlacierAdventure,Riena Strait,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,Nowhere,Grand Athenaeum Chapter 4: Winter Bard,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,WayBackHome,Grand Athenaeum Chapter 4: Winter Bard,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,noname,Grand Athenaeum Chapter 4: Winter Bard,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,ForgottenNames,Grand Athenaeum Chapter 4: Winter Bard,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,WhiteChristmas,Happyville (KMS),,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,WarmRegard,El Nath Fields,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,RienVillage,Rien,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,Xmas 01 Henesys,Henesys during Christmas,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,Xmas 02 Leafre,Leafre during Christmas,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,Through The Blizzard,Heroes of Maple Questline,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,FadedWinter,Kaling Boss Battle: Phase 2,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,WinterCastle,Event: Winter Castle,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,WinterCastle_DownHill,Event: Winter Castle,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,ExcitingDiving_in_Glacier,Event: Rien Night Troupe,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,WinterFrenzy_Boss_All,Event: Winter Frenzy,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,WinterFrenzy_Boss_effect,Event: Winter Frenzy,,,,,,
,,,Music,https://maplestory.fandom.com/api.php,snow_ice,MapleStory,WinterFrenzy_Boss_Bgm,Event: Winter Frenzy,,,,,,
,,Snowy Village,Bgm03,,snow_ice,MapleStory,,,,El Nath,ElNath,CODASOUND,2004,['https://www.youtube.com/watch?v=X6X7U5V9Obk']
,,Snow Drop,Bgm19,,snow_ice,MapleStory,,,,Rien Training Field,Rien,StudioEIM,2009,['https://www.youtube.com/watch?v=531E1H-sdSo']
,,Blizzard Castle,Bgm23,,snow_ice,MapleStory,,,,El Nath: Lion King's Castle,LionCastle,StudioEIM,2010,['https://www.youtube.com/watch?v=8F100vDwPJg']
,,Glacier Adventure,Bgm34,,snow_ice,MapleStory,,,,Riena Strait,glacierExplorer,StudioEIM,2013,['https://www.youtube.com/watch?v=BjIJTO2SFAk']
,,Sailing,Bgm34,,snow_ice,MapleStory,,,,Sailing on the Riena Strait,glacierExplorer,StudioEIM,2013,['https://www.youtube.com/watch?v=Cejub3b907A']
,,Through the Blizzard,Bgm45,,snow_ice,MapleStory,,,,Heroes of Maple - Act 1 Slumbering Dragon Island,HofM,StudioEIM,2015,['https://www.youtube.com/watch?v=5Bb-cQC5Uvo']
,,Faded Winter,Bgm57,,snow_ice,MapleStory,,,,Kaling - Phase 2,dowonkyung,ASTERIA,2023,['https://www.youtube.com/watch?v=v59-MU4VYb8']
,,Frozen Link -Lofi ver.-,BgmEvent,,snow_ice,MapleStory,,,,Starlight Symphony - Sentimental Band effect,5121124,ASTERIA,2021,['https://www.youtube.com/watch?v=-FmEMz7qw0g']
,,Santa Beats,BgmEvent2,,snow_ice,MapleStory,,,,Mesoranger dance event (winter),mRhythm,StudioEIM,2013,['https://www.youtube.com/watch?v=6AY9MkUSc9s']
,,Santa Rocks,BgmEvent2,,snow_ice,MapleStory,,,,Mesoranger dance event (winter),mRhythm,StudioEIM,2013,['https://www.youtube.com/watch?v=t-Ra1k_Dk2k']
,,MSU Winter Event,BgmEvent3,,snow_ice,MapleStory,,,,The Age of V event & Pudgy World,hFiesta,ASTERIA,2025,['https://www.youtube.com/watch?v=FlAASALvIY0']
,,Wonstaurant,BgmEvent3,,snow_ice,MapleStory,,,,Wonstaurant (MapleStory Savior),2022winter,ASTERIA,2022,['https://www.youtube.com/watch?v=wCWq736XLao']
,,When It Snows in Cernium,BgmEvent3,,snow_ice,MapleStory,,,,2023 Christmas - Cernium,Cernium,ASTERIA,2023,['https://www.youtube.com/watch?v=9-HUOufRkcc']
